Messstellennummer,Decade,Decade_Label,Month,Label,Monatsmittelwert,q05,q95
1,1950,1950 - 1959,01,"1 (Reinickendorf, Hauptgrundwasserleiter (GWL 1.3 + 2), gok: 49.2 m, fok-fuk: 37.3-39.3 m)",35.00333333333333,34.61,35.34
1,1950,1950 - 1959,02,"1 (Reinickendorf, Hauptgrundwasserleiter (GWL 1.3 + 2), gok: 49.2 m, fok-fuk: 37.3-39.3 m)",35.001666666666665,34.65,35.31
1,1950,1950 - 1959,03,"1 (Reinickendorf, Hauptgrundwasserleiter (GWL 1.3 + 2), gok: 49.2 m, fok-fuk: 37.3-39.3 m)",34.975,34.66,35.31
1,1950,1950 - 1959,04,"1 (Reinickendorf, Hauptgrundwasserleiter (GWL 1.3 + 2), gok: 49.2 m, fok-fuk: 37.3-39.3 m)",34.99333333333333,34.64,35.35
1,1950,1950 - 1959,05,"1 (Reinickendorf, Hauptgrundwasserleiter (GWL 1.3 + 2), gok: 49.2 m, fok-fuk: 37.3-39.3 m)",35.01,34.66,35.35
1,1950,1950 - 1959,06,"1 (Reinickendorf, Hauptgrundwasserleiter (GWL 1.3 + 2), gok: 49.2 m, fok-fuk: 37.3-39.3 m)",35.00833333333333,34.57,35.37
1,1950,1950 - 1959,07,"1 (Reinickendorf, Hauptgrundwasserleiter (GWL 1.3 + 2), gok: 49.2 m, fok-fuk: 37.3-39.3 m)",35.02666666666667,34.59,35.31
1,1950,1950 - 1959,08,"1 (Reinickendorf, Hauptgrundwasserleiter (GWL 1.3 + 2), gok: 49.2 m, fok-fuk: 37.3-39.3 m)",35.04,34.55,35.3
1,1950,1950 - 1959,09,"1 (Reinickendorf, Hauptgrundwasserleiter (GWL 1.3 + 2), gok: 49.2 m, fok-fuk: 37.3-39.3 m)",35.03,34.52,35.29
1,1950,1950 - 1959,10,"1 (Reinickendorf, Hauptgrundwasserleiter (GWL 1.3 + 2), gok: 49.2 m, fok-fuk: 37.3-39.3 m)",35.035,34.54,35.34
1,1950,1950 - 1959,11,"1 (Reinickendorf, Hauptgrundwasserleiter (GWL 1.3 + 2), gok: 49.2 m, fok-fuk: 37.3-39.3 m)",34.97714285714286,34.58,35.25
1,1950,1950 - 1959,12,"1 (Reinickendorf, Hauptgrundwasserleiter (GWL 1.3 + 2), gok: 49.2 m, fok-fuk: 37.3-39.3 m)",34.99,34.6,35.38
1,1960,1960 - 1969,01,"1 (Reinickendorf, Hauptgrundwasserleiter (GWL 1.3 + 2), gok: 49.2 m, fok-fuk: 37.3-39.3 m)",34.831,34.42,35.13
1,1960,1960 - 1969,02,"1 (Reinickendorf, Hauptgrundwasserleiter (GWL 1.3 + 2), gok: 49.2 m, fok-fuk: 37.3-39.3 m)",34.831,34.42,35.12
1,1960,1960 - 1969,03,"1 (Reinickendorf, Hauptgrundwasserleiter (GWL 1.3 + 2), gok: 49.2 m, fok-fuk: 37.3-39.3 m)",34.827,34.42,35.13
1,1960,1960 - 1969,04,"1 (Reinickendorf, Hauptgrundwasserleiter (GWL 1.3 + 2), gok: 49.2 m, fok-fuk: 37.3-39.3 m)",34.833,34.38,35.13
1,1960,1960 - 1969,05,"1 (Reinickendorf, Hauptgrundwasserleiter (GWL 1.3 + 2), gok: 49.2 m, fok-fuk: 37.3-39.3 m)",34.851,34.42,35.18
1,1960,1960 - 1969,06,"1 (Reinickendorf, Hauptgrundwasserleiter (GWL 1.3 + 2), gok: 49.2 m, fok-fuk: 37.3-39.3 m)",34.868,34.45,35.21
1,1960,1960 - 1969,07,"1 (Reinickendorf, Hauptgrundwasserleiter (GWL 1.3 + 2), gok: 49.2 m, fok-fuk: 37.3-39.3 m)",34.901428571428575,34.5,35.23
1,1960,1960 - 1969,08,"1 (Reinickendorf, Hauptgrundwasserleiter (GWL 1.3 + 2), gok: 49.2 m, fok-fuk: 37.3-39.3 m)",34.902,34.54,35.23
1,1960,1960 - 1969,09,"1 (Reinickendorf, Hauptgrundwasserleiter (GWL 1.3 + 2), gok: 49.2 m, fok-fuk: 37.3-39.3 m)",34.907,34.52,35.24
1,1960,1960 - 1969,10,"1 (Reinickendorf, Hauptgrundwasserleiter (GWL 1.3 + 2), gok: 49.2 m, fok-fuk: 37.3-39.3 m)",34.896,34.48,35.19
1,1960,1960 - 1969,11,"1 (Reinickendorf, Hauptgrundwasserleiter (GWL 1.3 + 2), gok: 49.2 m, fok-fuk: 37.3-39.3 m)",34.885,34.46,35.2
1,1960,1960 - 1969,12,"1 (Reinickendorf, Hauptgrundwasserleiter (GWL 1.3 + 2), gok: 49.2 m, fok-fuk: 37.3-39.3 m)",34.875,34.46,35.16
1,1970,1970 - 1979,01,"1 (Reinickendorf, Hauptgrundwasserleiter (GWL 1.3 + 2), gok: 49.2 m, fok-fuk: 37.3-39.3 m)",34.6035,34.079499999999996,35.28
1,1970,1970 - 1979,02,"1 (Reinickendorf, Hauptgrundwasserleiter (GWL 1.3 + 2), gok: 49.2 m, fok-fuk: 37.3-39.3 m)",34.60190476190476,34.12,35.18
1,1970,1970 - 1979,03,"1 (Reinickendorf, Hauptgrundwasserleiter (GWL 1.3 + 2), gok: 49.2 m, fok-fuk: 37.3-39.3 m)",34.602000000000004,34.079,35.16
1,1970,1970 - 1979,04,"1 (Reinickendorf, Hauptgrundwasserleiter (GWL 1.3 + 2), gok: 49.2 m, fok-fuk: 37.3-39.3 m)",34.562,34.058,35.14
1,1970,1970 - 1979,05,"1 (Reinickendorf, Hauptgrundwasserleiter (GWL 1.3 + 2), gok: 49.2 m, fok-fuk: 37.3-39.3 m)",34.548,34.0685,35.15
1,1970,1970 - 1979,06,"1 (Reinickendorf, Hauptgrundwasserleiter (GWL 1.3 + 2), gok: 49.2 m, fok-fuk: 37.3-39.3 m)",34.521904761904764,34.02,35.22
1,1970,1970 - 1979,07,"1 (Reinickendorf, Hauptgrundwasserleiter (GWL 1.3 + 2), gok: 49.2 m, fok-fuk: 37.3-39.3 m)",34.541,34.024499999999996,35.24
1,1970,1970 - 1979,08,"1 (Reinickendorf, Hauptgrundwasserleiter (GWL 1.3 + 2), gok: 49.2 m, fok-fuk: 37.3-39.3 m)",34.537,33.978,35.23
1,1970,1970 - 1979,09,"1 (Reinickendorf, Hauptgrundwasserleiter (GWL 1.3 + 2), gok: 49.2 m, fok-fuk: 37.3-39.3 m)",34.521,33.989000000000004,35.19
1,1970,1970 - 1979,10,"1 (Reinickendorf, Hauptgrundwasserleiter (GWL 1.3 + 2), gok: 49.2 m, fok-fuk: 37.3-39.3 m)",34.531,34.0485,35.29
