Messstellennummer,Decade,Decade_Label,Month,Label,Monatsmittelwert,q05,q95
5803200,1980,1980 - 1989,01,"Tiefwerder (Havel, id: 5803200, fluss-km: 1.48)",89.30967741935484,59.18000000000001,129
5803200,1980,1980 - 1989,02,"Tiefwerder (Havel, id: 5803200, fluss-km: 1.48)",93.80705882352942,47.96,136
5803200,1980,1980 - 1989,03,"Tiefwerder (Havel, id: 5803200, fluss-km: 1.48)",94.25913978494624,40.36,144
5803200,1980,1980 - 1989,04,"Tiefwerder (Havel, id: 5803200, fluss-km: 1.48)",86.45555555555556,31.564999999999998,130
5803200,1980,1980 - 1989,05,"Tiefwerder (Havel, id: 5803200, fluss-km: 1.48)",50.56881720430108,27.480000000000004,97.67999999999999
5803200,1980,1980 - 1989,06,"Tiefwerder (Havel, id: 5803200, fluss-km: 1.48)",43.56444444444445,30.845,67.23
5803200,1980,1980 - 1989,07,"Tiefwerder (Havel, id: 5803200, fluss-km: 1.48)",44.582795698924734,30.88,74.1
5803200,1980,1980 - 1989,08,"Tiefwerder (Havel, id: 5803200, fluss-km: 1.48)",44.443010752688174,24.340000000000003,74.7
5803200,1980,1980 - 1989,09,"Tiefwerder (Havel, id: 5803200, fluss-km: 1.48)",41.05222222222222,16.145000000000003,75.14499999999998
5803200,1980,1980 - 1989,10,"Tiefwerder (Havel, id: 5803200, fluss-km: 1.48)",39.108602150537635,21.16,61.57999999999999
5803200,1980,1980 - 1989,11,"Tiefwerder (Havel, id: 5803200, fluss-km: 1.48)",55.1725,38.1,90.525
5803200,1980,1980 - 1989,12,"Tiefwerder (Havel, id: 5803200, fluss-km: 1.48)",69.21129032258065,40.055,102
5803200,1990,1990 - 1999,01,"Tiefwerder (Havel, id: 5803200, fluss-km: 1.48)",57.73612903225806,22.225,118.55000000000001
5803200,1990,1990 - 1999,02,"Tiefwerder (Havel, id: 5803200, fluss-km: 1.48)",60.797872340425535,25.705,117.94999999999999
5803200,1990,1990 - 1999,03,"Tiefwerder (Havel, id: 5803200, fluss-km: 1.48)",61.498064516129034,29,123.20000000000005
5803200,1990,1990 - 1999,04,"Tiefwerder (Havel, id: 5803200, fluss-km: 1.48)",55.358666666666664,25.889999999999997,131
5803200,1990,1990 - 1999,05,"Tiefwerder (Havel, id: 5803200, fluss-km: 1.48)",37.76025806451613,13.650000000000002,77.97500000000001
5803200,1990,1990 - 1999,06,"Tiefwerder (Havel, id: 5803200, fluss-km: 1.48)",31.752966666666666,10.59,82.03500000000001
5803200,1990,1990 - 1999,07,"Tiefwerder (Havel, id: 5803200, fluss-km: 1.48)",24.602451612903227,7.239000000000001,52.82000000000001
5803200,1990,1990 - 1999,08,"Tiefwerder (Havel, id: 5803200, fluss-km: 1.48)",19.17593548387097,4.8545,39.965
5803200,1990,1990 - 1999,09,"Tiefwerder (Havel, id: 5803200, fluss-km: 1.48)",28.659666666666666,10.6575,62.315000000000026
5803200,1990,1990 - 1999,10,"Tiefwerder (Havel, id: 5803200, fluss-km: 1.48)",29.782096774193548,13.49,43.2
5803200,1990,1990 - 1999,11,"Tiefwerder (Havel, id: 5803200, fluss-km: 1.48)",40.01266666666667,20.195,64.57000000000002
5803200,1990,1990 - 1999,12,"Tiefwerder (Havel, id: 5803200, fluss-km: 1.48)",49.534838709677416,28.145,92.14000000000001
5803200,2000,2000 - 2009,01,"Tiefwerder (Havel, id: 5803200, fluss-km: 1.48)",49.873225806451615,25.5,105.55000000000001
5803200,2000,2000 - 2009,02,"Tiefwerder (Havel, id: 5803200, fluss-km: 1.48)",61.76183745583039,34.65,93.46
5803200,2000,2000 - 2009,03,"Tiefwerder (Havel, id: 5803200, fluss-km: 1.48)",64.36645161290322,32.19,104.55000000000001
5803200,2000,2000 - 2009,04,"Tiefwerder (Havel, id: 5803200, fluss-km: 1.48)",48.431266666666666,16.6,102.05000000000001
